CONFIRM!!subtitle_language!!@	with subtitles in @.
CONFIRM!!title!!@	playing @
GOODBYE	Have a good day.
INFORM!!genre!!@	It is a @ movie.
INFORM!!starring!!@	@ acted in it.
INFORM_COUNT!!FindMovies!!count!!@	There're @ movies you may like.
NOTIFY_FAILURE!!FindMovies	I failed to find any movies matching your preference.
NOTIFY_FAILURE!!PlayMovie	Failed to play the movie.
NOTIFY_SUCCESS!!PlayMovie	Started playing the movie.
OFFER!!title!!@	What about @?
OFFER!!title!!@@	What about @ or @?
OFFER!!title!!@@@	Do you like @, @ or @?
OFFER_INTENT!!PlayMovie	Do you want to play the movie?
REQUEST!!genre	What kind of movies do you like?
REQUEST!!title	Which movie do you want to watch?
REQ_MORE	What else can I help?
